,NUM_CASOS,ALCALDIA,COLONIA_HECHOS,DENUNCIAS,POBLACION,indice,PRECIO_POR_METRO_CUADRADO
101,573,CUAUHTEMOC,SAN SIMÓN TOLNÁHUAC,91,9885,9.205867476,45037.0
102,1605,XOCHIMILCO,SAN LUCAS XOCHIMANCA,91,9139,9.957325747,6278.0
103,372,BENITO JUAREZ,SANTA CRUZ ATOYAC,117,8600,13.60465116,44167.0
104,1133,MIGUEL HIDALGO,TACUBAYA,112,8447,13.25914526,46193.0
105,1130,MIGUEL HIDALGO,SAN MIGUEL CHAPULTEPEC,94,7671,12.25394342,46193.0
106,1027,LA MAGDALENA CONTRERAS,EL ROSAL,79,7650,10.32679739,12678.0
107,416,COYOACAN,CULHUACÁN CTM SECCIÓN VII,116,6653,17.43574327,27000.0
108,763,IZTACALCO,AMPLIACIÓN GABRIEL RAMOS MILLÁN,104,5568,18.67816092,16949.0
109,696,GUSTAVO A MADERO,NUEVA VALLEJO,82,4223,19.41747573,14545.0
110,96,ALVARO OBREGON,GUADALUPE INN,53,3599,14.72631286,20714.0
111,576,CUAUHTEMOC,TABACALERA,99,3267,30.303030300000003,45037.0
112,198,ALVARO OBREGON,SAN ANGEL,84,2657,31.61460294,20714.0
113,1098,MIGUEL HIDALGO,"LOMAS DE CHAPULTEPEC, I SECCIÓN",94,1785,52.66106443,46193.0
114,838,IZTAPALAPA,CENTRAL DE ABASTO,143,418,342.10526319999997,9960.0
