Clave de entidad federativa,Nombre de la entidad,Clave de municipio,Nombre del municipio,Clave de localidad,Nombre de la localidad,Latitud,Longitud,Poblacion total,Poblacion 15 a 17,Poblacion 18 a 24,Poblacion 15 a 17 que asiste a la escuela,Poblacion 18 a 24 que asiste a la escuela,Grado promedio de escolaridad,Total de viviendas,Total de viviendas habitadas
9,Distrito Federal,9,Milpa Alta,96,Tequianquiztunco,190955.0,990418.0,9.0,,,,,,3.0,2.0
9,Distrito Federal,9,Milpa Alta,98,Tetexipezco,191207.0,990211.0,39.0,1.0,1.0,0.0,1.0,7.2,9.0,9.0
9,Distrito Federal,9,Milpa Alta,99,Tetlicuili (El Encinal),190928.0,985906.0,67.0,3.0,9.0,2.0,2.0,8.36,26.0,18.0
9,Distrito Federal,9,Milpa Alta,100,Teuhtli,191310.0,990150.0,11.0,,,,,,4.0,2.0
9,Distrito Federal,9,Milpa Alta,101,Texcalahuitiel,191202.0,990335.0,28.0,2.0,3.0,2.0,0.0,8.59,6.0,6.0
9,Distrito Federal,9,Milpa Alta,103,Tezompa,191117.0,990309.0,99.0,10.0,18.0,4.0,3.0,7.59,38.0,23.0
9,Distrito Federal,9,Milpa Alta,104,Colonia Teziuhtepec,191019.0,990415.0,89.0,4.0,19.0,3.0,1.0,8.09,24.0,22.0
9,Distrito Federal,9,Milpa Alta,105,Tetzumpa,191002.0,990414.0,14.0,,,,,,4.0,2.0
9,Distrito Federal,9,Milpa Alta,109,Tlaxala,191208.0,990216.0,46.0,3.0,6.0,2.0,4.0,9.42,11.0,11.0
9,Distrito Federal,9,Milpa Alta,110,Cuescomatepec,191016.0,990245.0,3.0,,,,,,2.0,1.0
9,Distrito Federal,9,Milpa Alta,112,Tetepanco,191221.0,990317.0,94.0,8.0,9.0,6.0,2.0,7.73,27.0,22.0
9,Distrito Federal,9,Milpa Alta,113,Cerrada Francisco I. Madero,191248.0,990338.0,51.0,3.0,9.0,3.0,4.0,9.06,19.0,12.0
9,Distrito Federal,9,Milpa Alta,115,San José,191230.0,990336.0,137.0,10.0,15.0,9.0,5.0,7.08,48.0,36.0
9,Distrito Federal,9,Milpa Alta,116,Hueytepetl,191121.0,985922.0,202.0,6.0,23.0,4.0,0.0,7.48,62.0,52.0
9,Distrito Federal,9,Milpa Alta,117,Coximalipa,191025.0,990409.0,91.0,7.0,11.0,6.0,3.0,9.0,31.0,23.0
9,Distrito Federal,9,Milpa Alta,120,Texacatipac,191032.0,990435.0,153.0,8.0,22.0,7.0,6.0,8.48,47.0,41.0
9,Distrito Federal,9,Milpa Alta,123,La Mora III,191120.0,990205.0,31.0,2.0,7.0,0.0,2.0,8.67,8.0,8.0
9,Distrito Federal,9,Milpa Alta,124,La Mora IV,191127.0,990155.0,13.0,0.0,0.0,0.0,0.0,4.0,4.0,3.0
9,Distrito Federal,9,Milpa Alta,125,La Mora V,191129.0,990202.0,23.0,0.0,1.0,0.0,1.0,6.88,6.0,6.0
9,Distrito Federal,9,Milpa Alta,126,Coyocalli,191150.0,990212.0,16.0,1.0,1.0,1.0,0.0,8.36,5.0,4.0
9,Distrito Federal,9,Milpa Alta,129,Tlapalan,191051.0,990038.0,37.0,1.0,3.0,0.0,1.0,9.64,11.0,11.0
9,Distrito Federal,9,Milpa Alta,130,Retamatitla,191034.0,990115.0,2.0,,,,,,1.0,1.0
9,Distrito Federal,9,Milpa Alta,131,Texalco,191134.0,990209.0,84.0,4.0,10.0,2.0,3.0,7.82,18.0,17.0
9,Distrito Federal,9,Milpa Alta,134,Quepilco,191123.0,990603.0,56.0,6.0,6.0,3.0,1.0,8.43,20.0,12.0
9,Distrito Federal,9,Milpa Alta,135,Texococlixpa (Rancho Santa Elena),191058.0,990600.0,6.0,,,,,,3.0,2.0
9,Distrito Federal,9,Milpa Alta,138,Barranca Seca (Pozo Ocho),191223.0,985951.0,200.0,22.0,20.0,9.0,4.0,6.87,53.0,46.0
9,Distrito Federal,9,Milpa Alta,139,Teatlaco,191121.0,985930.0,31.0,2.0,3.0,1.0,0.0,5.67,9.0,9.0
9,Distrito Federal,9,Milpa Alta,140,Tlaloxtoc (Ejidos de Tecoxpa),191149.0,985852.0,38.0,3.0,5.0,1.0,2.0,7.56,11.0,10.0
9,Distrito Federal,9,Milpa Alta,142,Atuzanco,191230.0,990318.0,43.0,1.0,3.0,1.0,1.0,7.46,12.0,12.0
9,Distrito Federal,9,Milpa Alta,147,El Potrero,191235.0,990532.0,20.0,0.0,1.0,0.0,1.0,12.07,6.0,5.0
9,Distrito Federal,9,Milpa Alta,148,Jalisco Uno,191159.0,990209.0,55.0,2.0,8.0,1.0,5.0,8.72,18.0,15.0
9,Distrito Federal,9,Milpa Alta,151,Miquixpa,191111.0,990603.0,32.0,3.0,3.0,3.0,1.0,7.57,11.0,6.0
9,Distrito Federal,9,Milpa Alta,152,San Lorenzo Tlacoyucan,191030.0,990152.0,3676.0,218.0,506.0,138.0,126.0,8.44,1056.0,938.0
9,Distrito Federal,9,Milpa Alta,154,Rinconada del Tioca,191233.0,990522.0,110.0,7.0,9.0,4.0,3.0,8.89,28.0,24.0
9,Distrito Federal,9,Milpa Alta,155,Tlacpa,191217.0,990324.0,6.0,,,,,,4.0,2.0
9,Distrito Federal,9,Milpa Alta,156,Temoclaluca,191138.0,990446.0,66.0,4.0,8.0,2.0,3.0,6.91,18.0,16.0
9,Distrito Federal,9,Milpa Alta,158,Malacaxco,191152.0,990356.0,55.0,8.0,5.0,7.0,3.0,8.74,16.0,12.0
9,Distrito Federal,9,Milpa Alta,159,Cuatlixco,191139.0,990347.0,26.0,2.0,4.0,1.0,2.0,7.22,5.0,5.0
9,Distrito Federal,9,Milpa Alta,160,Tlaloxtutienco (Montesinos),191145.0,990345.0,30.0,2.0,3.0,1.0,2.0,8.22,7.0,6.0
9,Distrito Federal,9,Milpa Alta,161,Coametzu,191113.0,990328.0,136.0,14.0,22.0,9.0,3.0,7.13,39.0,30.0
9,Distrito Federal,9,Milpa Alta,163,Cuauhtunco,191301.0,990241.0,236.0,19.0,31.0,15.0,9.0,8.31,82.0,60.0
9,Distrito Federal,9,Milpa Alta,167,Tepetenco,191215.0,990214.0,180.0,8.0,21.0,5.0,7.0,8.39,48.0,44.0
9,Distrito Federal,9,Milpa Alta,168,San Isidro Cuatepec,191308.0,990028.0,670.0,53.0,92.0,33.0,17.0,8.06,194.0,171.0
9,Distrito Federal,9,Milpa Alta,169,Xaluis (Ixtahuaca),191103.0,990318.0,153.0,6.0,24.0,4.0,7.0,8.85,47.0,38.0
9,Distrito Federal,9,Milpa Alta,171,Tlacaxatl (Barrio Xochitepec),191226.0,985940.0,219.0,20.0,22.0,14.0,9.0,8.11,56.0,50.0
9,Distrito Federal,9,Milpa Alta,172,Tlachachalipac,191057.0,990312.0,62.0,6.0,7.0,3.0,0.0,7.31,22.0,13.0
9,Distrito Federal,9,Milpa Alta,173,Camino Real a Tlaltenami,191043.0,990344.0,69.0,6.0,9.0,4.0,3.0,8.37,21.0,17.0
9,Distrito Federal,9,Milpa Alta,174,Mecalco,191048.0,990111.0,157.0,7.0,23.0,4.0,7.0,7.75,44.0,41.0
9,Distrito Federal,9,Milpa Alta,176,Zacatonco,191050.0,990057.0,61.0,5.0,13.0,3.0,7.0,9.57,15.0,12.0
9,Distrito Federal,9,Milpa Alta,177,Carretera a Santa Ana,191058.0,990052.0,104.0,4.0,8.0,3.0,1.0,6.11,26.0,25.0
9,Distrito Federal,9,Milpa Alta,178,Xali,191010.0,990153.0,39.0,5.0,6.0,5.0,4.0,9.16,10.0,10.0
9,Distrito Federal,9,Milpa Alta,185,Zacaxontlicpa,191144.0,990617.0,48.0,4.0,6.0,4.0,1.0,9.69,16.0,13.0
9,Distrito Federal,9,Milpa Alta,187,Santa Catarina (Piedra Blanca),191241.0,990445.0,143.0,10.0,14.0,10.0,10.0,10.74,53.0,38.0
9,Distrito Federal,9,Milpa Alta,188,Paraje Cuauhtetec,191138.0,990452.0,188.0,14.0,34.0,6.0,9.0,8.0,52.0,40.0
9,Distrito Federal,9,Milpa Alta,189,Hueytlalpan,191132.0,990449.0,91.0,4.0,10.0,3.0,1.0,8.02,25.0,24.0
9,Distrito Federal,9,Milpa Alta,191,Tlatilpampa,191302.0,990328.0,15.0,1.0,4.0,1.0,3.0,7.08,4.0,3.0
9,Distrito Federal,9,Milpa Alta,192,Tetzmititla,191226.0,990324.0,27.0,1.0,8.0,1.0,2.0,8.18,9.0,6.0
9,Distrito Federal,9,Milpa Alta,195,Tlaxiomulco,191129.0,990219.0,113.0,9.0,22.0,5.0,7.0,6.67,23.0,21.0
9,Distrito Federal,9,Milpa Alta,196,Tepachac,191123.0,990206.0,15.0,1.0,0.0,1.0,0.0,8.43,4.0,4.0
9,Distrito Federal,9,Milpa Alta,197,Chichauhtonco,191111.0,990206.0,10.0,1.0,0.0,0.0,0.0,4.67,6.0,3.0
9,Distrito Federal,9,Milpa Alta,198,Tecoloxtitla,191052.0,990041.0,159.0,14.0,21.0,8.0,7.0,8.82,41.0,41.0
9,Distrito Federal,9,Milpa Alta,199,Tapalaco (Amacapultitla),191013.0,990012.0,13.0,1.0,2.0,1.0,0.0,7.63,4.0,4.0
9,Distrito Federal,9,Milpa Alta,200,Teacalco,191156.0,990342.0,38.0,4.0,4.0,4.0,2.0,8.18,9.0,9.0
9,Distrito Federal,9,Milpa Alta,201,Iztlalco,191255.0,990341.0,9.0,0.0,1.0,0.0,0.0,6.0,6.0,3.0
9,Distrito Federal,9,Milpa Alta,202,Conzontlicpa,191249.0,990347.0,144.0,12.0,19.0,11.0,9.0,8.01,32.0,31.0
9,Distrito Federal,9,Milpa Alta,203,Huepaltepec,191242.0,990428.0,54.0,4.0,2.0,2.0,0.0,7.59,20.0,17.0
9,Distrito Federal,9,Milpa Alta,204,Mecatlán (Rancho el Refugio),191233.0,990502.0,42.0,2.0,4.0,2.0,0.0,8.71,12.0,8.0
9,Distrito Federal,9,Milpa Alta,205,Tecupilco (Kilómetro 17.5),191304.0,990258.0,81.0,7.0,12.0,6.0,5.0,10.7,22.0,18.0
9,Distrito Federal,9,Milpa Alta,206,Xaxalpa,191304.0,990255.0,93.0,7.0,17.0,7.0,7.0,10.1,29.0,22.0
9,Distrito Federal,9,Milpa Alta,207,Xaltepetitla,191302.0,990235.0,29.0,1.0,3.0,1.0,1.0,7.81,12.0,10.0
9,Distrito Federal,9,Milpa Alta,208,Tetecolok,191247.0,990308.0,62.0,4.0,4.0,4.0,0.0,7.21,25.0,17.0
9,Distrito Federal,9,Milpa Alta,209,Tlaxicoapa (Mulotla),191228.0,990314.0,55.0,3.0,11.0,1.0,1.0,7.95,14.0,11.0
9,Distrito Federal,9,Milpa Alta,210,Santa Rosa,191325.0,990012.0,130.0,5.0,17.0,1.0,1.0,7.33,37.0,31.0
9,Distrito Federal,9,Milpa Alta,211,Olla de Piedra,191326.0,990011.0,36.0,3.0,4.0,3.0,0.0,8.39,11.0,9.0
9,Distrito Federal,9,Milpa Alta,213,El Zapote (Techultepec),191257.0,990014.0,331.0,21.0,46.0,15.0,5.0,8.92,86.0,73.0
9,Distrito Federal,9,Milpa Alta,214,Maxulco (Barrio Cruztitla),191234.0,990010.0,310.0,19.0,31.0,15.0,13.0,9.3,86.0,73.0
9,Distrito Federal,9,Milpa Alta,215,El Pirul,191227.0,990033.0,29.0,2.0,7.0,1.0,5.0,7.9,7.0,6.0
9,Distrito Federal,9,Milpa Alta,216,Prolongación Avenida México Norte,191211.0,990126.0,57.0,5.0,8.0,2.0,2.0,8.7,19.0,12.0
9,Distrito Federal,9,Milpa Alta,217,Zacuaztitla,191212.0,985858.0,189.0,15.0,29.0,8.0,6.0,7.47,47.0,41.0
9,Distrito Federal,9,Milpa Alta,218,Rancho Paraíso Escondido,191215.0,985914.0,10.0,,,,,,3.0,2.0
9,Distrito Federal,9,Milpa Alta,219,Omaxal,191102.0,990538.0,160.0,11.0,24.0,6.0,3.0,7.4,44.0,41.0
9,Distrito Federal,9,Milpa Alta,220,Mimiradorco,191055.0,990540.0,17.0,2.0,5.0,0.0,0.0,7.23,8.0,5.0
9,Distrito Federal,9,Milpa Alta,222,Ahuatitla,191103.0,990454.0,52.0,3.0,10.0,2.0,2.0,9.8,16.0,13.0
9,Distrito Federal,9,Milpa Alta,223,Texacazintla (Xacalixpa),191038.0,990443.0,96.0,9.0,10.0,4.0,3.0,7.51,29.0,25.0
9,Distrito Federal,9,Milpa Alta,224,Chichilecas,191034.0,990404.0,142.0,7.0,12.0,4.0,3.0,8.44,41.0,35.0
9,Distrito Federal,9,Milpa Alta,225,Camino a la Granja,191149.0,990348.0,11.0,,,,,,3.0,2.0
9,Distrito Federal,9,Milpa Alta,226,Calle Capulines,191149.0,990333.0,9.0,0.0,0.0,0.0,0.0,8.88,5.0,4.0
9,Distrito Federal,9,Milpa Alta,227,Rancho los Capulines,191138.0,990328.0,50.0,4.0,7.0,1.0,1.0,8.39,11.0,11.0
9,Distrito Federal,9,Milpa Alta,228,Temoayan,191145.0,990325.0,34.0,2.0,8.0,1.0,1.0,9.63,11.0,7.0
9,Distrito Federal,9,Milpa Alta,229,Prolongación Xolotl,191131.0,990321.0,68.0,6.0,4.0,5.0,3.0,8.02,17.0,14.0
9,Distrito Federal,9,Milpa Alta,230,Tequimilpa,191135.0,990315.0,4.0,,,,,,2.0,2.0
9,Distrito Federal,9,Milpa Alta,232,Meliaxco,191120.0,990159.0,33.0,1.0,7.0,0.0,2.0,6.68,6.0,6.0
9,Distrito Federal,9,Milpa Alta,233,Las Cruces Parte Alta (Tehuepanco),191026.0,990232.0,188.0,10.0,30.0,6.0,3.0,7.58,48.0,47.0
9,Distrito Federal,9,Milpa Alta,234,Cuapalipa,191014.0,990202.0,32.0,3.0,2.0,1.0,0.0,6.4,7.0,7.0
9,Distrito Federal,9,Milpa Alta,235,Camino Tigustitla,191010.0,990216.0,50.0,4.0,2.0,2.0,0.0,7.68,20.0,14.0
9,Distrito Federal,9,Milpa Alta,236,Zacaticli,191001.0,990211.0,45.0,4.0,9.0,3.0,0.0,6.67,13.0,13.0
9,Distrito Federal,9,Milpa Alta,237,Tenopantitla,191004.0,990150.0,27.0,2.0,3.0,2.0,0.0,7.89,9.0,7.0
9,Distrito Federal,9,Milpa Alta,238,Ocoteloloco (Tlaxcantitla),191017.0,990107.0,2.0,,,,,,3.0,1.0
9,Distrito Federal,9,Milpa Alta,239,Tecpallo,191148.0,985924.0,117.0,3.0,15.0,2.0,7.0,7.55,36.0,31.0
9,Distrito Federal,9,Milpa Alta,241,Nuch Huaca (Techinantitle),191028.0,985916.0,72.0,5.0,10.0,3.0,3.0,8.02,27.0,18.0
9,Distrito Federal,9,Milpa Alta,242,Cuacuahotlipa,191004.0,985913.0,174.0,10.0,29.0,5.0,6.0,7.3,55.0,45.0
9,Distrito Federal,9,Milpa Alta,243,Tlalcospa (Nacatulatlaco),190958.0,985927.0,30.0,1.0,4.0,1.0,1.0,8.84,8.0,7.0
9,Distrito Federal,9,Milpa Alta,244,Teshutla,190953.0,985919.0,14.0,1.0,1.0,1.0,0.0,9.4,5.0,4.0
9,Distrito Federal,9,Milpa Alta,245,Citlalcuac (Rancho el Paraíso Perdido),191202.0,990543.0,87.0,2.0,10.0,1.0,4.0,8.49,22.0,20.0
9,Distrito Federal,9,Milpa Alta,246,Prolongación Niños Héroes,191157.0,990514.0,264.0,17.0,36.0,11.0,10.0,7.99,77.0,68.0
9,Distrito Federal,9,Milpa Alta,248,Paraje Huicalco,191235.0,990337.0,67.0,4.0,8.0,4.0,5.0,9.55,22.0,16.0
9,Distrito Federal,9,Milpa Alta,249,Los Aguilar,191219.0,990436.0,4.0,,,,,,1.0,1.0
9,Distrito Federal,9,Milpa Alta,250,Tetexaloca,191116.0,990335.0,90.0,6.0,4.0,5.0,3.0,7.21,25.0,21.0
9,Distrito Federal,9,Milpa Alta,251,Prolongación Justo Sierra,191202.0,990347.0,24.0,2.0,5.0,2.0,1.0,8.8,5.0,5.0
9,Distrito Federal,9,Milpa Alta,252,Acatlaco,191049.0,990343.0,41.0,2.0,5.0,2.0,2.0,8.76,10.0,8.0
9,Distrito Federal,9,Milpa Alta,253,Xalmoyo,191109.0,990554.0,65.0,5.0,7.0,3.0,2.0,8.11,23.0,17.0
9,Distrito Federal,9,Milpa Alta,254,Paraje Oluca,191128.0,990603.0,445.0,31.0,59.0,20.0,22.0,7.65,141.0,111.0
9,Distrito Federal,9,Milpa Alta,255,Ninguno,191200.0,990331.0,8.0,,,,,,1.0,1.0
9,Distrito Federal,9,Milpa Alta,256,La Joya,191201.0,990457.0,59.0,5.0,7.0,4.0,4.0,8.09,25.0,14.0
9,Distrito Federal,9,Milpa Alta,257,Camino Viejo a Santa Cruz,191240.0,990403.0,64.0,2.0,2.0,2.0,0.0,9.0,23.0,18.0
